feature,mi_score,mi_rank,f_score,p_value,anova_rank,is_significant,variance,zero_ratio,is_constant,is_near_zero,is_high_zero,mi_rank_norm,anova_rank_norm,combined_score,final_rank,is_redundant,recommend_drop,recommend_keep
min_seg_size_forward,0.33448056398376913,25,3201.17865542161,0.0,51,True,4.518511327046933e+16,0.19806566666666667,False,False,False,0.6883116883116883,0.35064935064935066,0.5532467532467532,33,False,False,True
Avg Bwd Segment Size,0.07798587390031209,44,29451.72350442851,0.0,26,True,123.84867943560623,0.9705036666666667,False,False,False,0.4415584415584416,0.6753246753246753,0.5350649350649351,34,True,True,False
Down/Up Ratio,0.0662966550381241,50,57371.67909624117,0.0,17,True,0.027815594493087063,0.9737043333333333,False,False,False,0.36363636363636365,0.7922077922077921,0.535064935064935,35,False,False,True
Init_Win_bytes_backward,0.0842117136654088,38,14676.326041076587,0.0,41,True,213389.54603216972,0.032462333333333336,False,False,False,0.5194805194805194,0.48051948051948057,0.5038961038961038,36,False,False,True
Bwd Packet Length Max,0.07755552490541229,47,25603.9139721636,0.0,31,True,1294.0578755698516,0.9705036666666667,False,False,False,0.4025974025974026,0.6103896103896104,0.4857142857142857,37,False,False,True
Subflow Fwd Packets,0.2970046089746017,28,215.03131118088857,0.0,60,True,48982.55585890736,0.0,False,False,False,0.6493506493506493,0.23376623376623373,0.48311688311688306,38,False,False,True
Total Fwd Packets,0.2965910185513252,29,215.03131118088857,0.0,61,True,48982.55585890736,0.0,False,False,False,0.6363636363636364,0.22077922077922074,0.47012987012987006,39,True,True,False
URG Flag Count,0.004319596920969282,60,91269.87211441806,0.0,15,True,0.0009271391250463753,0.999072,False,False,True,0.23376623376623373,0.8181818181818181,0.46753246753246747,40,False,True,False
Subflow Bwd Packets,0.08432614752571999,37,5039.847669941579,0.0,50,True,6.245098426299368,0.966073,False,False,False,0.5324675324675325,0.36363636363636365,0.464935064935065,41,False,False,True
Total Backward Packets,0.08410230369741845,39,5039.847669941579,0.0,49,True,6.245098426299368,0.966073,False,False,False,0.5064935064935066,0.37662337662337664,0.4545454545454546,42,True,True,False
Bwd IAT Total,0.07784380597525997,45,7430.448349997741,0.0,44,True,8038059037622.5,0.969005,False,False,False,0.4285714285714286,0.4415584415584416,0.4337662337662338,43,False,False,True
Idle Max,0.02634872563276014,51,15107.024591410896,0.0,37,True,5439935448063.671,0.9890323333333333,False,False,False,0.35064935064935066,0.5324675324675325,0.4233766233766234,44,False,False,True
Fwd IAT Min,0.14587906593889644,33,46.525579827884144,3.55227212498096e-166,65,True,1299247000.302284,0.08060733333333334,False,False,False,0.5844155844155844,0.16883116883116878,0.4181818181818181,45,False,False,True
Bwd IAT Max,0.07763458518426836,46,5727.581013146709,0.0,46,True,4327637015748.07,0.969005,False,False,False,0.4155844155844156,0.4155844155844156,0.4155844155844156,46,False,False,True
Flow IAT Min,0.1453112786227555,34,55.74139125026057,1.4671546696712967e-201,64,True,1298475878.7621887,0.08300266666666667,False,False,False,0.5714285714285714,0.18181818181818177,0.4155844155844155,47,True,True,False
Idle Mean,0.025492320143126967,53,15284.98352133964,0.0,36,True,3105719056374.6777,0.9890323333333333,False,False,False,0.3246753246753247,0.5454545454545454,0.41298701298701296,48,True,True,False
Bwd Header Length,0.08596221942904059,36,155.07619099994156,0.0,62,True,21081576520146.227,0.966094,False,False,False,0.5454545454545454,0.20779220779220775,0.4103896103896103,49,False,False,True
CWE Flag Count,0.0026392423673646803,61,28536.031776759148,0.0,27,True,0.0004947551399183822,0.999505,False,False,True,0.22077922077922074,0.6623376623376623,0.3974025974025974,50,False,True,False
Bwd IAT Min,0.07262741738875222,49,5905.444156681501,0.0,45,True,4.799687940477199,0.9701906666666666,False,False,False,0.37662337662337664,0.4285714285714286,0.3974025974025974,51,False,False,True
Bwd IAT Mean,0.07729379084322874,48,5118.6079338195095,0.0,47,True,347009344537.304,0.969005,False,False,False,0.38961038961038963,0.4025974025974026,0.3948051948051948,52,True,True,False
Subflow Bwd Bytes,0.0782485122709291,42,722.0127469054746,0.0,56,True,14902143.686825614,0.9705036666666667,False,False,False,0.4675324675324676,0.2857142857142857,0.3948051948051948,53,False,False,True
Total Length of Bwd Packets,0.078197593281498,43,722.0127469054746,0.0,55,True,14902143.686825614,0.9705036666666667,False,False,False,0.4545454545454546,0.2987012987012987,0.3922077922077922,54,True,True,False
Idle Min,0.026153009514618297,52,13820.284230626603,0.0,42,True,1929379150189.078,0.9890323333333333,False,False,False,0.33766233766233766,0.4675324675324676,0.38961038961038963,55,True,True,False
